applicant_id,month,due_date,paid_date,borrower_type
0,1,2024-01-02,2024-01-01,good
0,2,2024-02-02,2024-01-28,good
0,3,2024-03-02,2024-02-24,good
0,4,2024-04-02,2024-03-21,good
0,5,2024-05-02,2024-04-20,good
0,6,2024-06-02,2024-05-18,good
0,7,2024-07-02,2024-06-29,good
0,8,2024-08-02,2024-07-26,good
0,9,2024-09-02,2024-08-28,good
0,10,2024-10-02,2024-09-17,good
0,11,2024-11-02,2024-11-01,good
0,12,2024-12-02,2024-11-27,good
1,1,2024-01-02,2023-12-21,good
1,2,2024-02-02,2024-01-21,good
1,3,2024-03-02,2024-02-21,good
1,4,2024-04-02,2024-03-25,good
1,5,2024-05-02,2024-04-24,good
1,6,2024-06-02,2024-05-23,good
1,7,2024-07-02,2024-06-25,good
1,8,2024-08-02,2024-07-21,good
1,9,2024-09-02,2024-08-23,good
1,10,2024-10-02,2024-09-22,good
1,11,2024-11-02,2024-10-25,good
1,12,2024-12-02,2024-11-27,good
2,1,2024-01-02,2023-12-25,good
2,2,2024-02-02,2024-01-26,good
2,3,2024-03-02,2024-02-16,good
2,4,2024-04-02,2024-03-26,good
2,5,2024-05-02,2024-04-20,good
2,6,2024-06-02,2024-05-18,good
2,7,2024-07-02,2024-06-29,good
2,8,2024-08-02,2024-08-01,good
2,9,2024-09-02,2024-08-28,good
2,10,2024-10-02,2024-09-22,good
2,11,2024-11-02,2024-10-18,good
2,12,2024-12-02,2024-11-25,good
3,1,2024-01-02,2023-12-21,good
3,2,2024-02-02,2024-01-25,good
3,3,2024-03-02,2024-02-16,good
3,4,2024-04-02,2024-03-30,good
3,5,2024-05-02,2024-04-22,good
3,6,2024-06-02,2024-05-26,good
3,7,2024-07-02,2024-06-22,good
3,8,2024-08-02,2024-07-25,good
3,9,2024-09-02,2024-08-25,good
3,10,2024-10-02,2024-09-20,good
3,11,2024-11-02,2024-11-01,good
3,12,2024-12-02,2024-11-27,good
4,1,2024-01-02,2024-02-16,risky
4,2,2024-02-02,2024-03-03,risky
4,3,2024-03-02,2024-04-16,risky
4,4,2024-04-02,2024-04-07,risky
4,5,2024-05-02,2024-05-07,risky
4,6,2024-06-02,2024-06-02,risky
4,7,2024-07-02,2024-07-17,risky
4,8,2024-08-02,2024-08-17,risky
4,9,2024-09-02,2024-09-17,risky
4,10,2024-10-02,2024-11-16,risky
4,11,2024-11-02,2024-11-17,risky
4,12,2024-12-02,2024-12-17,risky
5,1,2024-01-02,2023-12-21,good
5,2,2024-02-02,2024-01-28,good
5,3,2024-03-02,2024-02-16,good
5,4,2024-04-02,2024-04-02,good
5,5,2024-05-02,2024-04-27,good
5,6,2024-06-02,2024-05-21,good
5,7,2024-07-02,2024-06-17,good
5,8,2024-08-02,2024-07-28,good
5,9,2024-09-02,2024-08-28,good
5,10,2024-10-02,2024-09-27,good
5,11,2024-11-02,2024-10-28,good
5,12,2024-12-02,2024-11-17,good
6,1,2024-01-02,2023-12-21,good
6,2,2024-02-02,2024-01-30,good
6,3,2024-03-02,2024-02-24,good
6,4,2024-04-02,2024-03-23,good
